starttime	seconds	ctime	dtime	ttime	wait
Thu Nov 23 12:05:45 2023	1700737545	0	3899	3899	3899
Thu Nov 23 12:06:09 2023	1700737569	0	3899	3899	3899
Thu Nov 23 12:05:32 2023	1700737532	0	3899	3899	3899
Thu Nov 23 12:05:53 2023	1700737553	0	3900	3900	3900
Thu Nov 23 12:05:52 2023	1700737552	0	3900	3900	3900
Thu Nov 23 12:05:41 2023	1700737541	0	3901	3901	3901
Thu Nov 23 12:05:29 2023	1700737529	0	3901	3901	3901
Thu Nov 23 12:05:56 2023	1700737556	0	3901	3901	3901
Thu Nov 23 12:05:50 2023	1700737550	0	3902	3902	3902
Thu Nov 23 12:05:50 2023	1700737550	0	3903	3903	3903
Thu Nov 23 12:05:32 2023	1700737532	0	3904	3904	3903
Thu Nov 23 12:05:45 2023	1700737545	0	3904	3904	3904
Thu Nov 23 12:05:27 2023	1700737527	0	3904	3904	3904
Thu Nov 23 12:05:25 2023	1700737525	0	3905	3905	3904
Thu Nov 23 12:05:56 2023	1700737556	0	3905	3905	3904
Thu Nov 23 12:05:32 2023	1700737532	0	3905	3905	3904
Thu Nov 23 12:05:40 2023	1700737540	0	3905	3905	3905
Thu Nov 23 12:05:37 2023	1700737537	0	3906	3906	3906
Thu Nov 23 12:05:45 2023	1700737545	0	3906	3906	3906
Thu Nov 23 12:05:49 2023	1700737549	0	3907	3907	3906
Thu Nov 23 12:06:06 2023	1700737566	0	3907	3907	3906
Thu Nov 23 12:05:32 2023	1700737532	0	3907	3907	3907
Thu Nov 23 12:05:53 2023	1700737553	0	3907	3907	3907
Thu Nov 23 12:05:56 2023	1700737556	0	3907	3907	3907
Thu Nov 23 12:05:54 2023	1700737554	0	3907	3907	3907
Thu Nov 23 12:05:37 2023	1700737537	0	3908	3908	3908
Thu Nov 23 12:05:25 2023	1700737525	0	3908	3908	3908
Thu Nov 23 12:05:49 2023	1700737549	0	3908	3908	3908
Thu Nov 23 12:05:27 2023	1700737527	0	3908	3908	3908
Thu Nov 23 12:06:13 2023	1700737573	0	3908	3908	3908
Thu Nov 23 12:06:18 2023	1700737578	0	3908	3909	3908
Thu Nov 23 12:05:56 2023	1700737556	0	3908	3909	3908
Thu Nov 23 12:05:49 2023	1700737549	0	3909	3909	3908
Thu Nov 23 12:05:49 2023	1700737549	0	3909	3909	3909
Thu Nov 23 12:06:00 2023	1700737560	0	3909	3909	3909
Thu Nov 23 12:06:13 2023	1700737573	0	3909	3909	3909
Thu Nov 23 12:06:18 2023	1700737578	0	3910	3910	3909
Thu Nov 23 12:06:00 2023	1700737560	0	3910	3910	3910
Thu Nov 23 12:06:06 2023	1700737566	0	3910	3910	3910
Thu Nov 23 12:05:54 2023	1700737554	0	3910	3910	3910
Thu Nov 23 12:05:55 2023	1700737555	0	3911	3911	3911
Thu Nov 23 12:05:53 2023	1700737553	0	3911	3911	3911
Thu Nov 23 12:05:46 2023	1700737546	0	3911	3911	3911
Thu Nov 23 12:05:40 2023	1700737540	0	3911	3911	3911
Thu Nov 23 12:05:54 2023	1700737554	0	3912	3912	3912
Thu Nov 23 12:05:59 2023	1700737559	0	3912	3912	3912
Thu Nov 23 12:05:48 2023	1700737548	0	3912	3912	3912
Thu Nov 23 12:06:17 2023	1700737577	0	3912	3912	3912
Thu Nov 23 12:05:26 2023	1700737526	0	3913	3913	3913
Thu Nov 23 12:05:54 2023	1700737554	0	3913	3913	3913
Thu Nov 23 12:06:13 2023	1700737573	0	3913	3913	3913
Thu Nov 23 12:06:17 2023	1700737577	0	3914	3914	3913
Thu Nov 23 12:05:59 2023	1700737559	0	3914	3914	3914
Thu Nov 23 12:06:18 2023	1700737578	0	3914	3914	3914
Thu Nov 23 12:05:39 2023	1700737539	0	3914	3914	3914
Thu Nov 23 12:05:39 2023	1700737539	0	3915	3915	3914
Thu Nov 23 12:05:55 2023	1700737555	0	3915	3915	3915
Thu Nov 23 12:05:39 2023	1700737539	0	3915	3915	3915
Thu Nov 23 12:05:26 2023	1700737526	0	3915	3915	3915
Thu Nov 23 12:05:46 2023	1700737546	0	3915	3915	3915
Thu Nov 23 12:05:39 2023	1700737539	0	3916	3916	3916
Thu Nov 23 12:05:40 2023	1700737540	0	3916	3916	3916
Thu Nov 23 12:06:13 2023	1700737573	0	3916	3916	3916
Thu Nov 23 12:06:21 2023	1700737581	0	3916	3916	3916
Thu Nov 23 12:05:26 2023	1700737526	0	3916	3917	3916
Thu Nov 23 12:06:06 2023	1700737566	0	3917	3917	3916
Thu Nov 23 12:06:08 2023	1700737568	0	3917	3917	3917
Thu Nov 23 12:05:57 2023	1700737557	0	3917	3917	3917
